team_name,tournament
Argentina,copa
France,euro
England,euro
Germany,euro
Brazil,copa
Portugal,euro
Netherlands,euro
Belgium,euro
Mexico,copa
Spain,euro
Croatia,euro
Italy,euro
Colombia,copa
Denmark,euro
Switzerland,euro
Ukraine,euro
Ecuador,copa
Czechia,euro
Turkey,euro
Peru,copa
Serbia,euro
Chile,copa
Hungary,euro
Venezuela,copa
Canada,euro
Jamaica,copa
Romania,euro
Austria,euro
Slovakia,euro
Costa Rica,copa
Scotland,euro
Poland,euro
Slovenia,euro
Georgia,euro
Bolivia,copa
Albania,euro
USA,copa
Uruguay,copa
Panama,copa
Paraguay,copa
