,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date,min_points,max_points,norm_points
67058,1.0,Argentina,ARG,1858.0,1855.2,0,CONMEBOL,2024-04-04,742.05,1858.0,100.0
67077,5.0,Brazil,BRA,1788.65,1784.09,0,CONMEBOL,2024-04-04,742.05,1858.0,93.785563869349
67248,11.0,USA,USA,1681.13,1661.7,-2,CONCACAF,2024-04-04,742.05,1858.0,84.15072359872755
67093,12.0,Colombia,COL,1664.28,1655.29,-2,CONMEBOL,2024-04-04,742.05,1858.0,82.6407993189659
67173,14.0,Mexico,MEX,1661.11,1652.7,-1,CONCACAF,2024-04-04,742.05,1858.0,82.35673641292172
67252,15.0,Uruguay,URU,1659.39,1665.99,4,CONMEBOL,2024-04-04,742.05,1858.0,82.20260764371164
67109,31.0,Ecuador,ECU,1518.22,1519.2,0,CONMEBOL,2024-04-04,742.05,1858.0,69.55239930104395
67198,32.0,Peru,PER,1515.82,1512.68,-1,CONMEBOL,2024-04-04,742.05,1858.0,69.33733590214615
67090,42.0,Chile,CHI,1491.71,1489.82,0,CONMEBOL,2024-04-04,742.05,1858.0,67.17684484071869
67195,45.0,Panama,PAN,1475.62,1475.62,1,CONCACAF,2024-04-04,742.05,1858.0,65.735023970608
67086,49.0,Canada,CAN,1461.16,1453.76,-1,CONCACAF,2024-04-04,742.05,1858.0,64.43926699224876
67098,52.0,Costa Rica,CRC,1445.38,1437.57,-2,CONCACAF,2024-04-04,742.05,1858.0,63.02522514449573
67255,54.0,Venezuela,VEN,1442.29,1447.2,2,CONMEBOL,2024-04-04,742.05,1858.0,62.7483310184148
67145,55.0,Jamaica,JAM,1435.33,1421.54,-2,CONCACAF,2024-04-04,742.05,1858.0,62.12464716161118
67197,56.0,Paraguay,PAR,1430.73,1430.73,0,CONMEBOL,2024-04-04,742.05,1858.0,61.71244231372373
67074,85.0,Bolivia,BOL,1283.88,1284.55,-1,CONMEBOL,2024-04-04,742.05,1858.0,48.5532505936646
