date,home_team,away_team,home_score,away_score,tournament,location,country,neutral,round,group
2024-06-14,Germany,Scotland,NA,NA,UEFA Euro,Munich,Germany,FALSE,group_stage,A
2024-06-15,Hungary,Switzerland,NA,NA,UEFA Euro,Cologne,Germany,TRUE,group_stage,A
2024-06-15,Spain,Croatia,NA,NA,UEFA Euro,Berlin,Germany,TRUE,group_stage,B
2024-06-15,Italy,Albania,NA,NA,UEFA Euro,Dortmund,Germany,TRUE,group_stage,B
2024-06-16,Slovenia,Denmark,NA,NA,UEFA Euro,Stuttgart,Germany,TRUE,group_stage,C
2024-06-16,Serbia,England,NA,NA,UEFA Euro,Gelsenkirchen,Germany,TRUE,group_stage,C
2024-06-16,Poland,Netherlands,NA,NA,UEFA Euro,Hamburg,Germany,TRUE,group_stage,D
2024-06-17,Austria,France,NA,NA,UEFA Euro,Düsseldorf,Germany,TRUE,group_stage,D
2024-06-17,Romania,Ukraine,NA,NA,UEFA Euro,Munich,Germany,TRUE,group_stage,E
2024-06-17,Belgium,Slovakia,NA,NA,UEFA Euro,Frankfurt,Germany,TRUE,group_stage,E
2024-06-18,Turkey,Georgia,NA,NA,UEFA Euro,Dortmund,Germany,TRUE,group_stage,F
2024-06-18,Portugal,Czechia,NA,NA,UEFA Euro,Leipzig,Germany,TRUE,group_stage,F
2024-06-19,Germany,Hungary,NA,NA,UEFA Euro,Stuttgart,Germany,FALSE,group_stage,A
2024-06-19,Scotland,Switzerland,NA,NA,UEFA Euro,Cologne,Germany,TRUE,group_stage,A
2024-06-19,Croatia,Albania,NA,NA,UEFA Euro,Hamburg,Germany,TRUE,group_stage,B
2024-06-20,Spain,Italy,NA,NA,UEFA Euro,Gelsenkirchen,Germany,TRUE,group_stage,B
2024-06-20,Slovenia,Serbia,NA,NA,UEFA Euro,Munich,Germany,TRUE,group_stage,C
2024-06-20,Denmark,England,NA,NA,UEFA Euro,Frankfurt,Germany,TRUE,group_stage,C
2024-06-21,Poland,Austria,NA,NA,UEFA Euro,Berlin,Germany,TRUE,group_stage,D
2024-06-21,Netherlands,France,NA,NA,UEFA Euro,Leipzig,Germany,TRUE,group_stage,D
2024-06-21,Slovakia,Ukraine,NA,NA,UEFA Euro,Düsseldorf,Germany,TRUE,group_stage,E
2024-06-22,Belgium,Romania,NA,NA,UEFA Euro,Cologne,Germany,TRUE,group_stage,E
2024-06-22,Georgia,Czechia,NA,NA,UEFA Euro,Hamburg,Germany,TRUE,group_stage,F
2024-06-22,Turkey,Portugal,NA,NA,UEFA Euro,Dortmund,Germany,TRUE,group_stage,F
2024-06-23,Germany,Switzerland,NA,NA,UEFA Euro,Frankfurt,Germany,FALSE,group_stage,A
2024-06-23,Scotland,Hungary,NA,NA,UEFA Euro,Stuttgart,Germany,TRUE,group_stage,A
2024-06-24,Albania,Spain,NA,NA,UEFA Euro,Düsseldorf,Germany,TRUE,group_stage,B
2024-06-24,Croatia,Italy,NA,NA,UEFA Euro,Leipzig,Germany,TRUE,group_stage,B
2024-06-25,England,Slovenia,NA,NA,UEFA Euro,Cologne,Germany,TRUE,group_stage,C
2024-06-25,Denmark,Serbia,NA,NA,UEFA Euro,Munich,Germany,TRUE,group_stage,C
2024-06-25,Netherlands,Austria,NA,NA,UEFA Euro,Berlin,Germany,TRUE,group_stage,D
2024-06-25,France,Poland,NA,NA,UEFA Euro,Dortmund,Germany,TRUE,group_stage,D
2024-06-26,Slovakia,Romania,NA,NA,UEFA Euro,Frankfurt,Germany,TRUE,group_stage,E
2024-06-26,Ukraine,Belgium,NA,NA,UEFA Euro,Stuttgart,Germany,TRUE,group_stage,E
2024-06-26,Georgia,Portugal,NA,NA,UEFA Euro,Gelsenkirchen,Germany,TRUE,group_stage,F
2024-06-26,Czechia,Turkey,NA,NA,UEFA Euro,Hamburg,Germany,TRUE,group_stage,F
