team,xP
Portugal,6.906746964085805
Belgium,6.885818841207037
England,6.839030840831137
France,6.696096847956078
Spain,6.357971855438089
Germany,6.293969733735846
Italy,5.346364889626132
Netherlands,5.304035702903209
Switzerland,5.180091331832794
Denmark,5.073847807777813
Ukraine,4.984381246679474
Czechia,4.9279221392975625
Croatia,4.3322290598548125
Turkey,3.9056254519866496
Hungary,3.8341200773148687
Serbia,3.71603234177313
Romania,3.5781522575248985
Austria,3.546586384541245
Scotland,2.6918188571164907
Slovakia,2.5516476545885913
Poland,2.453281064599468
Slovenia,2.3710890096179194
Georgia,2.259705444629982
Albania,1.9634341950809668
