,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date,min_points,max_points,norm_points
67121,2.0,France,FRA,1840.59,1845.44,0,UEFA,2024-04-04,742.05,1858.0,98.43989426049554
67069,3.0,Belgium,BEL,1795.23,1798.46,-1,UEFA,2024-04-04,742.05,1858.0,94.37519602132711
67112,4.0,England,ENG,1794.9,1800.05,1,UEFA,2024-04-04,742.05,1858.0,94.34562480397868
67201,6.0,Portugal,POR,1748.11,1745.06,-1,UEFA,2024-04-04,742.05,1858.0,90.15278462296698
67183,7.0,Netherlands,NED,1742.29,1745.48,1,UEFA,2024-04-04,742.05,1858.0,89.63125588063981
67224,8.0,Spain,ESP,1727.5,1732.64,0,UEFA,2024-04-04,742.05,1858.0,88.30592768493212
67144,9.0,Italy,ITA,1724.6,1718.82,0,UEFA,2024-04-04,742.05,1858.0,88.04605941126394
67099,10.0,Croatia,CRO,1721.07,1717.57,0,UEFA,2024-04-04,742.05,1858.0,87.7297369953851
67124,16.0,Germany,GER,1644.21,1631.22,0,UEFA,2024-04-04,742.05,1858.0,80.84233164568306
67232,19.0,Switzerland,SUI,1616.41,1613.44,0,UEFA,2024-04-04,742.05,1858.0,78.3511806084502
67105,21.0,Denmark,DEN,1602.72,1601.31,0,UEFA,2024-04-04,742.05,1858.0,77.12442313723733
67250,22.0,Ukraine,UKR,1568.86,1553.35,-2,UEFA,2024-04-04,742.05,1858.0,74.09023701778753
67062,25.0,Austria,AUT,1554.86,1546.1,0,UEFA,2024-04-04,742.05,1858.0,72.83570052421703
67137,26.0,Hungary,HUN,1532.2,1525.13,-1,UEFA,2024-04-04,742.05,1858.0,70.80514359962365
67231,27.0,Sweden,SWE,1531.68,1531.13,1,UEFA,2024-04-04,742.05,1858.0,70.75854652986246
67200,28.0,Poland,POL,1531.49,1520.24,-2,UEFA,2024-04-04,742.05,1858.0,70.7415206774497
67257,29.0,Wales,WAL,1531.38,1521.88,0,UEFA,2024-04-04,742.05,1858.0,70.73166360500024
67214,33.0,Serbia,SRB,1514.2,1517.43,1,UEFA,2024-04-04,742.05,1858.0,69.19216810789015
67206,35.0,Russia,RUS,1504.02,1498.84,-3,UEFA,2024-04-04,742.05,1858.0,68.2799408575653
67103,36.0,Czechia,CZE,1501.47,1494.04,-4,UEFA,2024-04-04,742.05,1858.0,68.05143599623639
67212,39.0,Scotland,SCO,1497.46,1506.89,5,UEFA,2024-04-04,742.05,1858.0,67.692100900578
67244,40.0,Turkey,TUR,1495.94,1505.28,5,UEFA,2024-04-04,742.05,1858.0,67.55589408127605
67205,46.0,Romania,ROU,1468.17,1472.73,1,UEFA,2024-04-04,742.05,1858.0,65.06743133652942
67191,47.0,Norway,NOR,1467.51,1472.36,1,UEFA,2024-04-04,742.05,1858.0,65.00828890183251
67218,48.0,Slovakia,SVK,1461.55,1465.73,0,UEFA,2024-04-04,742.05,1858.0,64.47421479456965
67127,50.0,Greece,GRE,1457.89,1453.95,1,UEFA,2024-04-04,742.05,1858.0,64.14624311125051
67219,57.0,Slovenia,SVN,1427.84,1431.4,2,UEFA,2024-04-04,742.05,1858.0,61.453470137550966
67204,60.0,Republic of Ireland,IRL,1399.74,1399.6,-2,UEFA,2024-04-04,742.05,1858.0,58.93543617545589
67120,61.0,Finland,FIN,1394.44,1401.31,1,UEFA,2024-04-04,742.05,1858.0,58.46050450288992
67051,66.0,Albania,ALB,1375.1,1382.69,2,UEFA,2024-04-04,742.05,1858.0,56.7274519467718
67189,69.0,North Macedonia,MKD,1354.19,1362.17,1,UEFA,2024-04-04,742.05,1858.0,54.85371208387473
67176,70.0,Montenegro,MNE,1351.72,1342.64,-2,UEFA,2024-04-04,742.05,1858.0,54.63237600250908
67139,72.0,Iceland,ISL,1346.82,1342.57,-1,UEFA,2024-04-04,742.05,1858.0,54.1932882297594
67190,73.0,Northern Ireland,NIR,1341.05,1333.17,-1,UEFA,2024-04-04,742.05,1858.0,53.67623997490927
67075,74.0,Bosnia and Herzegovina,BIH,1335.6,1343.32,3,UEFA,2024-04-04,742.05,1858.0,53.187866839912175
67123,75.0,Georgia,GEO,1333.76,1312.45,-2,UEFA,2024-04-04,742.05,1858.0,53.0229849007572
67143,78.0,Israel,ISR,1311.39,1323.43,3,UEFA,2024-04-04,742.05,1858.0,51.01841480353063
67080,83.0,Bulgaria,BUL,1292.59,1289.9,0,UEFA,2024-04-04,742.05,1858.0,49.33375151216452
67163,87.0,Luxembourg,LUX,1277.94,1285.41,2,UEFA,2024-04-04,742.05,1858.0,48.02096868139254
67059,95.0,Armenia,ARM,1229.18,1237.15,1,UEFA,2024-04-04,742.05,1858.0,43.65159729378558
67068,96.0,Belarus,BLR,1226.54,1232.8,1,UEFA,2024-04-04,742.05,1858.0,43.415027554997984
67152,102.0,Kosovo,KOS,1205.85,1202.77,0,UEFA,2024-04-04,742.05,1858.0,41.56100183699986
67148,103.0,Kazakhstan,KAZ,1203.64,1215.16,3,UEFA,2024-04-04,742.05,1858.0,41.36296429051482
67063,112.0,Azerbaijan,AZE,1177.83,1174.22,-1,UEFA,2024-04-04,742.05,1858.0,39.05013665486805
67115,123.0,Estonia,EST,1141.13,1148.76,0,UEFA,2024-04-04,742.05,1858.0,35.76145884672253
67102,124.0,Cyprus,CYP,1141.03,1143.42,-1,UEFA,2024-04-04,742.05,1858.0,35.75249787176845
67118,133.0,Faroe Islands,FRO,1103.43,1102.1,-2,UEFA,2024-04-04,742.05,1858.0,32.38317128903626
67156,136.0,Latvia,LVA,1095.91,1097.84,0,UEFA,2024-04-04,742.05,1858.0,31.70930597248982
67162,137.0,Lithuania,LTU,1095.23,1086.93,-1,UEFA,2024-04-04,742.05,1858.0,31.6483713428021
67174,153.0,Moldova,MDA,1028.85,1022.6,-2,UEFA,2024-04-04,742.05,1858.0,25.700076168287104
67054,164.0,Andorra,AND,998.75,998.0,0,UEFA,2024-04-04,742.05,1858.0,23.002822707110536
67170,171.0,Malta,MLT,973.14,967.29,-1,UEFA,2024-04-04,742.05,1858.0,20.707917021371927
67161,202.0,Liechtenstein,LIE,832.75,833.01,-1,UEFA,2024-04-04,742.05,1858.0,8.127604283346031
67126,203.0,Gibraltar,GIB,832.5,840.8,2,UEFA,2024-04-04,742.05,1858.0,8.105201845960844
67209,210.0,San Marino,SMR,742.05,741.61,0,UEFA,2024-04-04,742.05,1858.0,0.0
