team_name,cost,odds
Argentina,54,2.75
Brazil,50,3.25
England,45,4
France,42,4.5
Germany,37,6
Uruguay,34,7
Portugal,30,9
Spain,30,9
Colombia,25,13
Mexico,23,15
USA,23,15
Italy,22,17
Belgium,21,18
Netherlands,21,19
Ecuador,21,19
Chile,15,36
Croatia,14,41
Denmark,13,45
Peru,13,51
Turkey,11,66
Paraguay,10,76
Austria,10,81
Switzerland,10,81
Hungary,10,81
Canada,10,86
Serbia,9,101
Venezuela,9,101
Costa Rica,9,101
Scotland,8,121
Ukraine,8,121
Poland,7,151
Bolivia,7,151
Jamaica,7,161
Czechia,7,161
Panama,6,201
Romania,6,201
Slovenia,4,431
Albania,4,501
Georgia,4,501
Slovakia,4,501
