,home_team,away_team,tournament,neutral,round,group,home_norm_points,away_norm_points,home_win_prob,away_win_prob
0,Germany,Scotland,UEFA Euro,0,group_stage,A,80.84233164568306,67.692100900578,0.8694073333126701,0.13059266668733002
1,Hungary,Switzerland,UEFA Euro,1,group_stage,A,70.80514359962365,78.3511806084502,0.35912135633231185,0.6408786436676881
2,Spain,Croatia,UEFA Euro,1,group_stage,B,88.30592768493212,87.7297369953851,0.5110542658477681,0.4889457341522319
3,Italy,Albania,UEFA Euro,1,group_stage,B,88.04605941126394,56.7274519467718,0.9171160024491585,0.08288399755084165
4,Slovenia,Denmark,UEFA Euro,1,group_stage,C,61.453470137550966,77.12442313723733,0.23097924649237767,0.7690207535076222
5,Serbia,England,UEFA Euro,1,group_stage,C,69.19216810789015,94.34562480397868,0.12668427838526825,0.8733157216147318
6,Poland,Netherlands,UEFA Euro,1,group_stage,D,70.7415206774497,89.63125588063981,0.19002607498278437,0.8099739250172155
7,Austria,France,UEFA Euro,1,group_stage,D,72.83570052421703,98.43989426049554,0.12290598283893532,0.8770940171610646
8,Romania,Ukraine,UEFA Euro,1,group_stage,E,65.06743133652942,74.09023701778753,0.333471403611271,0.666528596388729
9,Belgium,Slovakia,UEFA Euro,1,group_stage,E,94.37519602132711,64.47421479456965,0.9084608564045028,0.09153914359549717
10,Turkey,Georgia,UEFA Euro,1,group_stage,F,67.55589408127605,53.0229849007572,0.753142276037089,0.24685772396291092
11,Portugal,Czechia,UEFA Euro,1,group_stage,F,90.15278462296698,68.05143599623639,0.8450562697370986,0.15494373026290134
12,Germany,Hungary,UEFA Euro,0,group_stage,A,80.84233164568306,70.80514359962365,0.8398071435152932,0.16019285648470682
13,Scotland,Switzerland,UEFA Euro,1,group_stage,A,67.692100900578,78.3511806084502,0.30616402419540495,0.693835975804595
14,Croatia,Albania,UEFA Euro,1,group_stage,B,87.7297369953851,56.7274519467718,0.9152516915481989,0.08474830845180113
15,Spain,Italy,UEFA Euro,1,group_stage,B,88.30592768493212,88.04605941126394,0.5049862414712935,0.4950137585287065
16,Slovenia,Serbia,UEFA Euro,1,group_stage,C,61.453470137550966,69.19216810789015,0.3557251543872684,0.6442748456127315
17,Denmark,England,UEFA Euro,1,group_stage,C,77.12442313723733,94.34562480397868,0.21052295269663396,0.789477047303366
18,Poland,Austria,UEFA Euro,1,group_stage,D,70.7415206774497,72.83570052421703,0.45990272978259134,0.5400972702174087
19,Netherlands,France,UEFA Euro,1,group_stage,D,89.63125588063981,98.43989426049554,0.33713498327675934,0.6628650167232406
20,Slovakia,Ukraine,UEFA Euro,1,group_stage,E,64.47421479456965,74.09023701778753,0.32342917459232473,0.6765708254076752
21,Belgium,Romania,UEFA Euro,1,group_stage,E,94.37519602132711,65.06743133652942,0.9046034338172939,0.09539656618270617
22,Georgia,Czechia,UEFA Euro,1,group_stage,F,53.0229849007572,68.05143599623639,0.23985470494212177,0.7601452950578782
23,Turkey,Portugal,UEFA Euro,1,group_stage,F,67.55589408127605,90.15278462296698,0.1500287677688912,0.8499712322311088
24,Germany,Switzerland,UEFA Euro,0,group_stage,A,80.84233164568306,78.3511806084502,0.7460422061146371,0.2539577938853628
25,Scotland,Hungary,UEFA Euro,1,group_stage,A,67.692100900578,70.80514359962365,0.44054885513061914,0.5594511448693809
26,Albania,Spain,UEFA Euro,1,group_stage,B,56.7274519467718,88.30592768493212,0.08138040505123707,0.9186195949487629
27,Croatia,Italy,UEFA Euro,1,group_stage,B,87.7297369953851,88.04605941126394,0.4939306374689545,0.5060693625310455
28,England,Slovenia,UEFA Euro,1,group_stage,C,94.34562480397868,61.453470137550966,0.9258461554874426,0.07415384451255723
29,Denmark,Serbia,UEFA Euro,1,group_stage,C,77.12442313723733,69.19216810789015,0.6476722823559482,0.35232771764405174
30,Netherlands,Austria,UEFA Euro,1,group_stage,D,89.63125588063981,72.83570052421703,0.7839959188509186,0.21600408114908135
31,France,Poland,UEFA Euro,1,group_stage,D,98.43989426049554,70.7415206774497,0.8933978895322918,0.10660211046770814
32,Slovakia,Romania,UEFA Euro,1,group_stage,E,64.47421479456965,65.06743133652942,0.48861920298389644,0.5113807970161035
33,Ukraine,Belgium,UEFA Euro,1,group_stage,E,74.09023701778753,94.37519602132711,0.1740878808584302,0.8259121191415697
34,Georgia,Portugal,UEFA Euro,1,group_stage,F,53.0229849007572,90.15278462296698,0.05469075448957615,0.9453092455104238
35,Czechia,Turkey,UEFA Euro,1,group_stage,F,68.05143599623639,67.55589408127605,0.5095074157916786,0.4904925842083214
